#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Has patch,Affected Flow version,Description
3651,TYPO3.Fluid,Bug,"",Resolved,Should have,Call to a member function getBackend() on a non-object,Bastian Waidelich,Bastian Waidelich,2010-10-20 05:44,"","",2009-06-12,"","",100,2009-06-12 14:37,"","",2600850,"","","","When setting an object as value in View Helpers extending Tx_Fluid_ViewHelpers_Form_AbstractFormViewHelper, a fatal error is thrown.
<pre>
<f:form.textbox value=""{someObject}"" />
</pre>
->
<pre>
Fatal error: Call to a member function getBackend() on a non-object in [TYPO3ROOT]\typo3conf\ext\fluid\Classes\ViewHelpers\Form\AbstractFormViewHelper.php on line 84
</pre>

Reason:
Some left overs from the Fluid backport:
<pre>
if (is_object($this->arguments['value']) && NULL !== $this->persistenceManager->getBackend()->getUUIDByObject($this->arguments['value'])) {
	$name .= '[__identity]';
}
</pre>

This should rather be something like:
<pre>
if (is_object($this->arguments['value']) && is_callable(array($this->arguments['value'], 'getUid'))) {
	$name .= '[uid]';
}
</pre>
as in renderHiddenIdentityField() of the FormViewHelper.
"
3657,TYPO3.Fluid,Bug,"",Resolved,Should have,<f:form.select does not allow to specify selectedValue,Marcel Rosenberger,Bastian Waidelich,2010-10-20 05:44,"","",2009-06-14,"","",0,2009-06-13 18:19,"","",2600800,"","","","The following code from documentation does not work:
<pre>
<f:form.select name=""paymentOptions"" options=""{payPal: 'PayPal International Services', visa: 'VISA Card'}"" selectedValue=""visa"" />
</pre>

Error:
<pre>
PHP Fatal error:  Uncaught exception 'Tx_Fluid_Core_Parser_Exception' with message 'Argument ""selectedValue"" 
was not registered.' in typo3\sysext\fluid\Classes\Core\Parser\TemplateParser.php:402
</pre>"
3661,TYPO3.Fluid,Feature,"",Resolved,Should have,<f:form.checkbox   and    <f:form.radio  missing?!,Marcel Rosenberger,Bastian Waidelich,2010-10-20 05:44,ViewHelpers,"",2009-06-14,"","",100,2009-06-13 18:56,"","",2600750,"","","","It would be nice to have <f:form.checkbox and <f:form.radio available in a Fluid-Template.
<input type=""radio"" name=...> is possible but one can't take advantage of arguments like options=""{myarray}"" and property=""..."" as possible with the <f:form.select ViewHelper."
3676,TYPO3.Fluid,Bug,"",Resolved,Must have,SelectViewHelper should automatically use the persistence manager to determine the UID of an object,Sebastian Kurfuerst,Karsten Dambekalns,2010-10-20 05:44,Core,1.0.0 alpha 3,2009-06-15,"","",100,2009-06-15 17:00,"","",2603800,"","","","It'd be very nice if the SelectViewHelper would work together with the persistence manager, so lists of objects are correctly added."
3702,TYPO3.Fluid,Feature,"",Resolved,Should have,Inline notation should expect object-parameters by default,Bastian Waidelich,Sebastian Kurfuerst,2010-10-20 05:44,Core,"",2009-06-18,"","",100,2009-06-18 11:00,"","",2600700,"","","","Currently the syntax
<pre>
{f:debug(settings)}
</pre>
will cast the argument to a string.
To use objects as parameters in inline syntax, you'll have to write:
<pre>
{f:debug('{settings}')}
</pre>

It would be nice if it worked like this:
'foo'/""foo"" => 'foo'
foo => {foo}
123 => 123


Question: What happens with named parameters?
I think, the following would be consistent:
<pre>
{f:debug(settings, title='string')}
{f:debug(settings, title=123)}
{f:debug(settings, title=settings.title)}
</pre>"
3714,TYPO3.Fluid,Story,"",Rejected,Could have,Add advanced validation of ViewHelper arguments,Sebastian Kurfuerst,Christian Müller,2011-05-05 12:29,Core,"",2009-06-21,"","",100,2009-06-21 05:03,"","",2600650,"","","","We should add a feature to support the @validate annotation inside the ViewHelper render() method comment.

See the ActionController for the code which needs to be included in AbstractViewHelper, and make sure to refactor it to a central place."
3717,TYPO3.Fluid,Feature,"",Resolved,Should have,"""Designators"" for Form view helper",Bastian Waidelich,Bastian Waidelich,2010-10-20 05:44,ViewHelpers,"",2009-06-22,"","",90,2009-06-22 05:51,"","",2600600,"","","","* FormViewHelper needs a new argument ""designator"" / ""namespace""
* Extbase will set the default value for this argument to ""tx_extensionname_pluginname""
* All Form view helpers inside a form will inherit this namespace

so:
<pre>
<f:form>
	<f:form.textbox name=""firstName"" />
</f:form>
</pre>
gets
<pre>
<form action=""..."">
	<input type=""text"" name=""tx_extensionname_pluginname[firstName]"" value="""" />
</form>
</pre>
and
<pre>
<f:form object=""{customer}"">
	<f:form.textbox property=""firstName"" />
	<f:form.textbox name=""foo"" />
</f:form>
</pre>
gets
<pre>
<form action=""..."">
	<input type=""hidden"" name=""tx_extensionname_pluginname[customer][uid]"" value=""123"" />
	<input type=""text"" name=""tx_extensionname_pluginname[customer][firstName]"" value=""Kasper"" />
	<input type=""text"" name=""tx_extensionname_pluginname[foo]"" value="""" />
</form>
</pre>
and finally
<pre>
<f:form object=""{customer}"" namespace=""tx_ttnews"">
	<f:form.textbox property=""firstName"" />
	<f:form.textbox name=""foo"" />
</f:form>
</pre>
gets
<pre>
<form action=""..."">
	<input type=""hidden"" name=""tx_ttnews[customer][uid]"" value=""123"" />
	<input type=""text"" name=""tx_ttnews[customer][firstName]"" value=""Kasper"" />
	<input type=""text"" name=""tx_ttnews[foo]"" value="""" />
</form>
</pre>

Problem: namespace/designator can't be set to """" because then the default value would be used.. So it wouldn't be possible to output:
<pre>
<input type=""text"" name=""id"" value=""123"" />
</pre>"
3725,TYPO3.Fluid,Feature,"",New,Could have,CSS Engine,Sebastian Kurfuerst,Christian Müller,2014-04-03 07:24,ViewHelpers,"",2009-06-22,"","",0,2009-06-22 15:09,"","",2600550,"",No,"","It would be great to have a CSS engine like lesscss, or integrate css cacheer.

http://lesscss.org/index.html
http://www.shauninman.com/archive/2008/05/30/check_out_css_cacheer

This idea was originally proposed by Jens Hoffmann, and I think it can be fully realized as ViewHelpers.

Greets,
Sebastian"
3791,TYPO3.Fluid,Feature,"",Resolved,Should have,View helper for resource URIs,Christopher Hlubek,Christopher Hlubek,2010-10-20 05:44,ViewHelpers,1.0.0 alpha 2,2009-06-28,"","",100,2009-06-28 13:08,"","",2603250,"","","","The public resources in a project should be easier accessible with the help of a new view helper. The view helper should simply take a filename and an optional package key. The current package key should be taken as a default.

So including an image from the public resources could look like:

<pre>
<img src=""{f:uri.resource 'images/flow3-logo.gif'}"" alt=""FLOW3 logo"" />
</pre>"
3792,TYPO3.Fluid,Bug,"",Closed,Should have,Special tag attributes for form view helpers are missing (e.g. size),Christopher Hlubek,Christopher Hlubek,2010-10-20 05:44,ViewHelpers,"",2009-06-28,"","",100,2009-06-28 13:13,"","",2600500,"","","","Form input elements can have a lot of HTML attributes e.g. for the size or maxlength. These are missing for the @TextareViewHelper@ and @TextboxViewHelper@. So currently no size can be set for text input fields! Apart from standard attributes, there are also proprietary attribues (e.g. for auto completion), that should be supported."
3793,TYPO3.Fluid,Feature,"",Resolved,Should have,CSS class for errors in form view helpers,Christopher Hlubek,Christopher Hlubek,2010-10-20 05:44,ViewHelpers,"",2009-06-28,"","",100,2009-06-28 13:30,"","",2600450,"","","",Form view helpers should automatically add a CSS class if an error for the property exists. The name of this class should be overridable.
3802,TYPO3.Fluid,Feature,"",Resolved,Should have,View helper for form errors,Christopher Hlubek,Christopher Hlubek,2010-10-20 05:44,ViewHelpers,1.0.0 alpha 2,2009-06-29,"","",100,2009-06-29 16:39,"","",2603200,"","","",There should be a view helper to display errors for a form or for the whole action. It should iterate over all error messages just like a special for view helper. Additionally it should be possible to specifiy a property for which errors should be displayed.
3814,TYPO3.Fluid,Bug,"",Resolved,Must have,whitespaces at the end of FormViewHelper.php,Benno Weinzierl,Sebastian Kurfuerst,2010-10-20 05:44,"","",2009-07-01,"","",100,2009-07-01 11:22,"","",2600400,"","","","In file:
root  / fluid  / trunk  / Classes  / ViewHelpers  / FormViewHelper.php 

please remove whitespaces after closing php-tag"
3861,TYPO3.Fluid,Feature,"",Resolved,Should have,Backport fluids f:form:errors feature,Nikolas Hagelstein,Sebastian Kurfuerst,2010-10-20 05:44,"","",2009-07-09,"","",100,2009-07-09 12:13,"","",2600350,"","","",nothing more to say :).
3969,TYPO3.Fluid,Bug,"",Closed,Won't have this time," ""Fatal error: Objects used as arrays.."" with PHP 5.2.0",Thomas Waggershauser,Jochen Rau,2010-10-20 05:44,"","",2009-07-23,"","",0,2009-07-23 11:39,"","",2600300,"","","","I spend some time now, to understand this error:

Fatal error: Objects used as arrays in post/pre increment/decrement  
must return values by reference in /Users/air/Sites/ 
typo3_src-4.3.0alpha3/typo3/sysext/fluid/Classes/ViewHelpers/Form/ 
SelectViewHelper.php on line 148

It seems to be a php-problem, but I don't really understand, what this  
has to do with references :(

This issue occured using php 5.2.0, after update to 5.2.9, it worked.

-

This is not supposed to be like this, cause TYPO3 only requires 5.2.0 IIRC.

It's something that can be fixed quite easily, e.g. from
foreach ($this->arguments['options'] as $domainObject) {

to

$options = $this->arguments['options']
foreach ($options as $domainObject) {"
3985,TYPO3.Fluid,Bug,"",Resolved,Must have,f:form.textbox is not usable anymore without wrapping an f:form element ,Steffen Ritter,Bastian Waidelich,2010-10-20 05:44,ViewHelpers,"",2009-07-27,"","",100,2009-07-27 04:40,"","",2600250,"","","","Hi,
you have been able to use ViewHelper form.textbox as standalone to create an input field.
Since some time (cannot say revision) this is not possible anymore. The ViewHelper tries to access something of the parent Object (formName).

If there is no form wrapped a Fatal error will be raised.

"
3987,TYPO3.Fluid,Task,"",Resolved,Must have,Inconsistent attribute naming in Form view helper,Robert Lemke,Bastian Waidelich,2010-10-20 05:44,ViewHelpers,1.0,2009-09-05,2009-09-05,"",100,2009-07-27 05:27,"","",18900,"","","","The action link view helper uses the following attributes for specifying the action:
<pre>
   <f:link.action action=""show"" controller=""Post"" package=""Blog"" ...
</pre>
The form view helper, however, uses other attribute names:
<pre>
   <f:form action=""create"" controllerName=""Comment"" packageName=""Blog"" subpackageName=""Foo"">
</pre>
That is not only incosistent with the link view helper but also in general (we never use ""packageName"" but only ""packageKey"").

Please rename the attributes as follows:

controllerName -> controller
packageName -> package
subpackageName -> subpackage

Note that names like ""controller"", ""package"" etc. should only be used for attributes in Fluid templates. We make the exception there to provide shorter names for the users. Generally in PHP code we'd rather use ""controllerName"", ""packageKey"" etc.
"
3994,TYPO3.Fluid,Bug,"",Resolved,Must have,Viewhelpers are instanciated multiple times in ViewHelperNode,Bastian Waidelich,Sebastian Kurfuerst,2010-10-20 05:44,Core,"",2009-07-27,"","",100,2009-07-27 06:36,"","",2600200,"","","","In the evaluate() method of \F3\Fluid\Core\Parser\SyntaxTree\ViewHelperNode there is
<pre>
$viewHelper = $objectFactory->create($this->viewHelperClassName);
</pre>

The viewhelper should be stored in a private/protected field to be able to do
<pre>
if ($this->viewHelper === NULL) {
	$this->viewHelper = $objectFactory->create($this->viewHelperClassName);
}
</pre>

This will increase performance and make it possible to store private values in view helpers."
3997,TYPO3.Fluid,Feature,"",Resolved,Should have,Enable bulk assignment of template variables,Robert Lemke,Bastian Waidelich,2010-10-20 05:44,Core,1.0.0 alpha 3,2009-07-27,"","",100,2009-07-27 08:54,"","",2603750,"","","","Currenly TemplateView::assign() expects two arguments: the key and the value of the variable to assign. When lots of variables are assigned this is not convenient - a signature for bulk assignments would help.

Enhance assign() so that if the first argument is an array, the function assumes that it is an array of keys and values which will be assigned. In that case the second argument must not be set (and if so, results in an exception).

<pre>

$this->view->assign('foo', 'bar');
$this->view->assign('baz', 'quux');

// same as:

$this->view->assign(array('foo' => 'bar', 'baz' => 'quux');

</pre>"
4027,TYPO3.Fluid,Bug,"",Resolved,Should have,options-argument of the SelectViewHelper should not be optional,Bastian Waidelich,Bastian Waidelich,2010-10-20 05:44,ViewHelpers,1.0.0 alpha 3,2009-07-28,"","",100,2009-07-28 14:05,"","",2603700,"","","",The SelectViewHelper expects $this->arguments['options'] to be an array. A Select field without options wouldn't make sense anyways. So the options-argument should be required.
4028,TYPO3.Fluid,Bug,"",Resolved,Must have,Email Uri Helper creates a link tag instead of an URI,Bastian Waidelich,Bastian Waidelich,2010-10-20 05:44,ViewHelpers,1.0.0 alpha 3,2009-07-28,"","",100,2009-07-28 14:17,"","",2603650,"","","","\F3\Fluid\ViewHelpers\Uri\EmailViewHelper actually does the same as \F3\Fluid\ViewHelpers\Link\EmailViewHelper - creating a link tag.. Funny, that no one complained about it yet. A classical copy & paste bug."
4051,TYPO3.Fluid,Bug,"",Resolved,Must have,TagBuilder is not resetted when a view helper is initialized multiple times,Bastian Waidelich,Bastian Waidelich,2010-10-20 05:44,Core,1.0.0 alpha 4,2009-07-29,"","",100,2009-07-29 07:46,"","",2603950,"","","","Since r2895 ViewHelpers that belong to the same ViewHelperNode (inside loops) are only instantiated once. This leads to the side-effect, that $this->tag points to the same reference.
If a tag attribute is set it won't be resetted when initialize() is called.

Example:
<pre>
<f:for each=""{0:1, 1:2, 2:3, 3:4}"" as=""foo"">
	<f:link.action class=""{f:if('odd' condition='{foo} % 2')}"">{foo}</f:link.action>
</f:for>
</pre>

Expected result:
<pre>
<a class=""odd"" href=""viewhelpertest/standard"">1</a>
<a href=""viewhelpertest/standard"">2</a>
<a class=""odd"" href=""viewhelpertest/standard"">3</a>
<a href=""viewhelpertest/standard"">4</a>
</pre>

Actual result:
<pre>
<a class=""odd"" href=""viewhelpertest/standard"">1</a>
<a class=""odd"" href=""viewhelpertest/standard"">2</a>
<a class=""odd"" href=""viewhelpertest/standard"">3</a>
<a class=""odd"" href=""viewhelpertest/standard"">4</a>
</pre>

Solution:
Reset TagBuilder instance in initialize()

And we should check, whether there are more side-effects!"
4063,TYPO3.Fluid,Bug,"",Resolved,Must have,CObjectViewHelper erases field data in TypoScript,Christian Zenker,Bastian Waidelich,2010-10-20 05:44,"","",2009-07-29,"","",100,2009-07-29 13:37,"","",2600150,"","","","If no cObj is handed, CObjectViewHelper uses cObj from the GLOBALS-array. But this way it erases all data in this cObj that might be used later on in TypoScript.

Example

<pre>
page {
    10 < plugin.tx_myext
    headerData = TEXT
    headerData {
        # will be empty
        field = title
        wrap = <title>|</title>
    }
}

</pre>


The appended bugfix creates a new cObj if none is supported, but I'm not sure, if this is the best solution.
Maybe the parser could support one, or maybe it already does...?"
